dataset,method,HR@1,HR@3,HR@5,NDCG@3,NDCG@5,source_paper,source_table_or_section,notes,comparable_to_CAPERCA
Eadro-SN,TBAC,0.001,0.085,0.181,0.048,0.087,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,NetMedic,0.069,0.187,0.373,0.146,0.218,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,MonitorRank,0.068,0.118,0.221,0.095,0.137,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,CloudRanger,0.122,0.382,0.629,0.269,0.370,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,DyCause,0.273,0.636,0.727,0.301,0.353,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,MS-RF-RCL,0.704,0.908,0.970,0.825,0.851,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,MS-SVM-RCL,0.614,0.838,0.955,0.741,0.790,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-SN,MS-LSTM,0.757,0.884,0.907,0.834,0.844,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only; Eadro paper treats MS-LSTM as end-to-end.",true
Eadro-SN,MS-DCC,0.789,0.968,0.985,0.898,0.905,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on SN. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only; Eadro paper treats MS-DCC as end-to-end.",true
Eadro-SN,Eadro,0.974,0.988,0.991,0.982,0.983,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published Eadro result on SN; end-to-end model uses predicted detector output, so not a fully identical protocol to CAPE-RCA localization-only evaluation.",true
