case_id,task,split,gt_service,gt_type,pred_top1_service,pred_type,ranked_services_json,rank_of_gt,ranking_source,ranking_len,service_top1_accuracy,service_HR@3,service_HR@5,service_NDCG@3,service_NDCG@5,anomaly_type_accuracy,service_type_tuple_accuracy
aiops21_043,aiops2021_service_and_anomaly_type,train,Tomcat02,network_packet_loss,Tomcat02,network_packet_loss,"[""Tomcat02"", ""Tomcat03"", ""Mysql02"", ""apache01"", ""Tomcat01"", ""apache02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_044,aiops2021_service_and_anomaly_type,train,MG01,network_packet_loss,MG01,network_packet_loss,"[""MG01"", ""Tomcat01"", ""Tomcat03"", ""Tomcat04"", ""Tomcat02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_045,aiops2021_service_and_anomaly_type,train,Tomcat04,network_packet_loss,Tomcat04,network_packet_loss,"[""Tomcat04"", ""Tomcat03"", ""MG02"", ""MG01"", ""Tomcat01"", ""Tomcat02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_046,aiops2021_service_and_anomaly_type,train,MG01,network_packet_loss,MG01,network_packet_loss,"[""MG01"", ""Tomcat02"", ""MG02"", ""apache01"", ""Tomcat03""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_047,aiops2021_service_and_anomaly_type,train,Tomcat04,network_latency,Tomcat04,network_latency,"[""Tomcat04"", ""Tomcat03"", ""Tomcat02"", ""MG01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_048,aiops2021_service_and_anomaly_type,train,MG02,network_latency,MG02,network_latency,"[""MG02"", ""apache01"", ""Tomcat01"", ""MG01"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_049,aiops2021_service_and_anomaly_type,train,MG01,network_latency,MG01,network_latency,"[""MG01"", ""Tomcat01"", ""Tomcat03"", ""Tomcat02"", ""apache01"", ""apache02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_050,aiops2021_service_and_anomaly_type,train,Tomcat04,network_packet_loss,Tomcat04,network_latency,"[""Tomcat04"", ""MG02"", ""Tomcat02"", ""MG01"", ""Tomcat01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_051,aiops2021_service_and_anomaly_type,train,MG02,cpu,MG02,cpu,"[""MG02"", ""apache02"", ""Mysql01"", ""Tomcat02"", ""Tomcat03"", ""IG02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_052,aiops2021_service_and_anomaly_type,train,MG02,cpu,MG02,cpu,"[""MG02"", ""IG02"", ""apache01"", ""MG01"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_053,aiops2021_service_and_anomaly_type,train,IG01,cpu,IG01,cpu,"[""IG01"", ""MG01"", ""apache02"", ""MG02"", ""Redis02"", ""apache01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_054,aiops2021_service_and_anomaly_type,train,Tomcat02,jvm_oom,Tomcat02,cpu,"[""Tomcat02"", ""Tomcat04"", ""IG02"", ""Tomcat01"", ""apache01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_055,aiops2021_service_and_anomaly_type,train,Tomcat01,jvm_oom,Tomcat01,jvm_oom,"[""Tomcat01"", ""apache02"", ""Mysql02"", ""Tomcat02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_056,aiops2021_service_and_anomaly_type,train,MG02,jvm_oom,MG02,jvm_oom,"[""MG02"", ""IG01"", ""Tomcat03"", ""Tomcat01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_057,aiops2021_service_and_anomaly_type,train,Tomcat01,jvm_oom,Tomcat01,cpu,"[""Tomcat01"", ""Tomcat02"", ""MG02"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_058,aiops2021_service_and_anomaly_type,train,MG02,jvm_oom,MG02,jvm_oom,"[""MG02"", ""Tomcat03"", ""MG01"", ""Tomcat02"", ""Tomcat04"", ""Tomcat01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_059,aiops2021_service_and_anomaly_type,train,MG01,jvm_oom,MG01,jvm_oom,"[""MG01"", ""apache02"", ""IG02"", ""Tomcat04"", ""Tomcat01"", ""Mysql01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_060,aiops2021_service_and_anomaly_type,train,IG01,jvm_oom,IG01,jvm_oom,"[""IG01"", ""MG02"", ""MG01"", ""apache02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_061,aiops2021_service_and_anomaly_type,train,Tomcat02,jvm_oom,Tomcat02,jvm_oom,"[""Tomcat02"", ""Tomcat04"", ""IG01""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_062,aiops2021_service_and_anomaly_type,train,Tomcat03,disk_io,Tomcat03,jvm_oom,"[""Tomcat03"", ""Redis02"", ""MG02"", ""Tomcat02"", ""Tomcat01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_063,aiops2021_service_and_anomaly_type,train,MG01,disk_io,IG01,network_latency,"[""IG01"", ""MG02"", ""apache02"", ""apache01"", ""Mysql02"", ""Redis02"", ""Redis01""]",,all_decisions,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aiops21_064,aiops2021_service_and_anomaly_type,train,Tomcat03,disk_io,Tomcat03,memory,"[""Tomcat03"", ""MG02"", ""Redis02"", ""Tomcat04"", ""MG01"", ""Tomcat01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_065,aiops2021_service_and_anomaly_type,train,Tomcat02,disk_io,Tomcat02,disk_io,"[""Tomcat02"", ""MG02"", ""MG01"", ""IG01"", ""Redis02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_066,aiops2021_service_and_anomaly_type,train,MG01,disk_io,MG01,disk_io,"[""MG01"", ""IG02"", ""apache02"", ""apache01"", ""Tomcat02"", ""MG02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_067,aiops2021_service_and_anomaly_type,train,apache02,disk_io,apache02,disk_io,"[""apache02"", ""Tomcat01"", ""Tomcat03"", ""Mysql02"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_068,aiops2021_service_and_anomaly_type,train,IG02,filesystem,IG02,filesystem,"[""IG02"", ""Tomcat02"", ""Tomcat04"", ""dockerB1"", ""apache02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_069,aiops2021_service_and_anomaly_type,train,Tomcat01,disk_io,Tomcat01,disk_io,"[""Tomcat01"", ""Tomcat04"", ""dockerB2""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_070,aiops2021_service_and_anomaly_type,train,Tomcat01,disk_io,Tomcat01,disk_io,"[""Tomcat01"", ""Mysql02"", ""MG01"", ""IG01"", ""Redis01"", ""MG02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_071,aiops2021_service_and_anomaly_type,train,apache01,disk_io,apache01,disk_io,"[""apache01"", ""MG02"", ""Tomcat02""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_072,aiops2021_service_and_anomaly_type,train,IG02,filesystem,IG02,filesystem,"[""IG02"", ""MG01"", ""dockerB1"", ""Tomcat04"", ""Tomcat03"", ""Tomcat02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_073,aiops2021_service_and_anomaly_type,train,Tomcat01,disk_io,Tomcat01,disk_io,"[""Tomcat01"", ""Tomcat02"", ""MG01"", ""IG01"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_074,aiops2021_service_and_anomaly_type,train,apache01,filesystem,apache01,filesystem,"[""apache01"", ""Mysql02"", ""apache02"", ""IG02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_075,aiops2021_service_and_anomaly_type,train,Tomcat01,disk_io,Tomcat01,disk_io,"[""Tomcat01"", ""apache01"", ""apache02"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_076,aiops2021_service_and_anomaly_type,train,Tomcat04,filesystem,Tomcat04,filesystem,"[""Tomcat04"", ""apache01"", ""IG02"", ""Mysql02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_077,aiops2021_service_and_anomaly_type,train,Tomcat02,disk_io,Tomcat02,disk_io,"[""Tomcat02"", ""Tomcat04"", ""Redis01"", ""apache02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_078,aiops2021_service_and_anomaly_type,train,apache02,disk_io,apache02,disk_io,"[""apache02"", ""MG02"", ""Redis01"", ""Tomcat01"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_079,aiops2021_service_and_anomaly_type,train,MG02,disk_io,MG02,disk_io,"[""MG02"", ""Tomcat01"", ""MG01"", ""apache02"", ""Tomcat04"", ""Tomcat02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_080,aiops2021_service_and_anomaly_type,train,IG02,disk_io,IG02,disk_io,"[""IG02"", ""MG02"", ""apache02"", ""Tomcat01"", ""MG01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_081,aiops2021_service_and_anomaly_type,train,MG02,disk_io,MG02,disk_io,"[""MG02"", ""Tomcat03"", ""Tomcat02"", ""IG02"", ""apache01"", ""Mysql01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_082,aiops2021_service_and_anomaly_type,train,IG02,disk_io,IG02,disk_io,"[""IG02"", ""Tomcat03"", ""IG01""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_083,aiops2021_service_and_anomaly_type,train,Redis02,cpu,Redis02,cpu,"[""Redis02"", ""MG02"", ""Tomcat03"", ""apache02"", ""Tomcat01"", ""Tomcat02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_084,aiops2021_service_and_anomaly_type,train,MG02,cpu,MG02,cpu,"[""MG02"", ""Tomcat02"", ""MG01"", ""Tomcat04"", ""Mysql02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_085,aiops2021_service_and_anomaly_type,train,Redis02,cpu,Redis02,cpu,"[""Redis02"", ""MG02"", ""MG01"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_086,aiops2021_service_and_anomaly_type,train,Mysql01,cpu,Mysql01,cpu,"[""Mysql01"", ""Tomcat01"", ""MG02"", ""Mysql02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_087,aiops2021_service_and_anomaly_type,train,IG01,cpu,IG01,cpu,"[""IG01"", ""Tomcat04"", ""apache01""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_088,aiops2021_service_and_anomaly_type,train,Tomcat04,cpu,Tomcat04,cpu,"[""Tomcat04"", ""IG02"", ""apache02"", ""Tomcat01"", ""Tomcat02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_089,aiops2021_service_and_anomaly_type,train,Redis02,cpu,Redis02,cpu,"[""Redis02"", ""IG02"", ""Tomcat01"", ""apache01"", ""MG01"", ""dockerB2"", ""apache02""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_090,aiops2021_service_and_anomaly_type,train,IG02,cpu,IG02,cpu,"[""IG02"", ""Tomcat01"", ""apache01"", ""apache02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_091,aiops2021_service_and_anomaly_type,train,Tomcat03,cpu,Tomcat03,cpu,"[""Tomcat03"", ""Tomcat01"", ""Redis01"", ""Tomcat04"", ""apache01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_092,aiops2021_service_and_anomaly_type,train,IG02,cpu,IG02,cpu,"[""IG02"", ""Tomcat01"", ""Mysql02"", ""Tomcat02"", ""dockerB1"", ""Tomcat04"", ""apache02""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_093,aiops2021_service_and_anomaly_type,train,IG01,cpu,IG01,cpu,"[""IG01"", ""Mysql02"", ""Tomcat01"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_094,aiops2021_service_and_anomaly_type,train,Tomcat01,cpu,Tomcat01,cpu,"[""Tomcat01"", ""Tomcat02"", ""Redis01"", ""Tomcat03"", ""apache01"", ""apache02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_095,aiops2021_service_and_anomaly_type,train,Tomcat04,cpu,Tomcat04,cpu,"[""Tomcat04"", ""apache01"", ""Tomcat02"", ""MG02"", ""Mysql01"", ""Tomcat01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_096,aiops2021_service_and_anomaly_type,train,Redis02,cpu,Redis02,cpu,"[""Redis02"", ""IG02"", ""apache02"", ""Mysql02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_097,aiops2021_service_and_anomaly_type,train,IG02,cpu,IG02,cpu,"[""IG02"", ""IG01"", ""Tomcat01"", ""MG01"", ""apache01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_098,aiops2021_service_and_anomaly_type,train,Tomcat03,cpu,Tomcat03,cpu,"[""Tomcat03"", ""MG01"", ""apache01"", ""MG02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_099,aiops2021_service_and_anomaly_type,train,IG02,cpu,IG02,cpu,"[""IG02"", ""apache02"", ""MG01"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_100,aiops2021_service_and_anomaly_type,train,IG01,cpu,IG01,cpu,"[""IG01"", ""Tomcat01"", ""Tomcat04"", ""Tomcat03""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_101,aiops2021_service_and_anomaly_type,train,Tomcat01,cpu,Tomcat01,cpu,"[""Tomcat01"", ""MG02"", ""Tomcat03"", ""apache02"", ""IG01"", ""MG01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_102,aiops2021_service_and_anomaly_type,train,apache01,cpu,apache01,cpu,"[""apache01"", ""Tomcat03"", ""IG01"", ""Redis01"", ""Tomcat04"", ""Tomcat02"", ""Tomcat01""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
