system,query_id,fold_key,query_index,task_index,telemetry_date,ground_truth,object_id,base_rank,base_score,label,rank_recip,rank_log,anomaly_score,metric_score,log_score,trace_score,change_score,degree_in,degree_out,degree_total,is_isolated,member_count,member_log,incoming_mass,topological_mass,has_earliest,earliest_offset,noise_local_noise,noise_resonance_mass,noise_source_signal,noise_reverb_mass,noise_unexplained_residual,noise_collapse_gain,noise_collapse_recovery_score,noise_exclusive_explanation,noise_temporal_source_score,noise_multi_lead_consistency,noise_hotspot_bias,noise_root_source_score,structure_upstream_context,structure_downstream_context,structure_temporal_lead,structure_mechanism_focus,structure_propagation_signature,structure_source_likelihood,structure_symptom_likelihood,structure_structural_uniqueness,structure_propagation_role_score,structure_hard_negative_resistance,structure_multi_view_consistency,structure_topological_eccentricity,structure_structural_score,delay_source_time_consistency,delay_average_delay_gain,delay_observer_coverage,delay_reverse_penalty,beam_beamformed_explanation,beam_directional_focus,beam_offbeam_penalty,beam_mechanism_coherence,subspace_local_residual_source_energy,subspace_sector_source_ratio,subspace_sector_reverb_ratio,subspace_residual_distinctiveness,subspace_local_common_mode_alignment,subspace_replaceability,subspace_sector_size,mask_gated_reverb_penalty,mask_source_protection,mask_replaceability_penalty,mask_local_hub_pressure,reason_cpu,reason_memory,reason_disk,reason_db,reason_network,reason_process,prefix_tomcat,prefix_mg,prefix_ig,prefix_apache,prefix_mysql,prefix_redis,prefix_servicetest,prefix_node,prefix_adservice,prefix_frontend,prefix_checkoutservice,prefix_shippingservice,prefix_paymentservice,prefix_recommendationservice,prefix_emailservice,prefix_currencyservice,prefix_productcatalogservice,prefix_cartservice
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,ig01,11,0.177852,0,0.09090909090909091,2.4849066497880004,0.9056603773584906,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.6931471805599453,1.9056603773584906,2.8980969455184793,1.0,0.0,0.90566,1.0,0.368627,0.629107,0.370893,1.0,0.910648,0.0,0.666667,0.0,0.344567,0.968685,0.526042,0.760392,0.666667,0.001852,0.845041,0.679824,0.801343,0.715664,0.470767,1.0,0.598904,0.928571,0.320569,1.0,0.0,1.0,1.0,0.870002,0.48401,0.5,0.4375,0.0,0.0,1.0,0.030585,1.0,0.0,1.0,0.411491,0.977005,0.45,0.791979,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest11,12,0.12685,0,0.08333333333333333,2.5649493574615367,0.047624682205143355,0.07937447034190559,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.6931471805599453,0.9056603773584906,0.9655070262145227,1.0,0.0,0.047625,0.333152,0.0,1.0,0.0,0.25444,1.0,0.0,1.0,0.150832,0.156598,0.185591,0.25,0.506652,1.0,0.230961,0.332895,0.772025,0.57103,0.0,0.442723,0.630721,0.523175,0.964286,0.368948,1.0,0.0,0.333333,0.0,0.215303,0.552797,0.5,0.800403,0.0,0.0,1.0,0.119978,1.0,0.0,0.333333,0.453154,0.533485,0.45,0.478762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest10,13,0.104051,0,0.07692307692307693,2.639057329615259,0.18111581344300737,0.301859689071679,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.6931471805599453,2.811320754716981,2.716981132075472,1.0,0.0,0.181116,0.937505,0.0,1.0,0.0,0.831238,0.906286,0.0,0.666667,0.050277,0.374413,0.584263,0.776042,0.950495,0.666667,0.230961,0.667149,0.742961,0.890894,0.957763,0.484061,0.962764,0.823926,0.892857,0.38778,1.0,0.0,0.833333,0.666667,0.710404,0.586827,0.5,0.579561,0.0,0.0,1.0,0.05121,1.0,0.0,0.833333,0.473986,0.872572,0.45,0.808595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,dockera1,14,0.075945,0,0.07142857142857142,2.70805020110221,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.05,0.90566,0.0,0.382504,0.0,1.0,0.182419,0.0,0.0,0.0,0.150832,0.818182,0.195537,0.0,0.0,0.0,1.0,0.522682,0.527324,0.211842,0.676983,0.216656,0.894134,0.855542,0.0,0.517973,0.0,0.0,0.0,0.0,0.194952,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.039647,0.072207,0.0,0.070642,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest4,15,0.060766,0,0.06666666666666667,2.772588722239781,0.059846648856032046,0.09974441476005341,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.6931471805599453,0.953285059563634,0.9056603773584906,1.0,0.0,0.059847,0.312502,0.0,1.0,0.0,0.241877,1.0,0.0,1.0,0.150832,0.150358,0.177464,0.263146,0.950495,1.0,0.230961,0.587918,0.863667,0.79756,0.067001,0.611255,0.776041,0.750209,0.928571,0.328765,1.0,0.0,0.166667,0.0,0.192706,0.392308,0.5,0.4375,0.0,0.0,1.0,0.133248,1.0,0.0,0.166667,0.541093,0.488616,0.45,0.590721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,tomcat04,16,0.059526,0,0.0625,2.833213344056216,1.0,1.0,0.37735849056603776,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.6931471805599453,1.0,0.9056603773584906,1.0,-0.06138888888888889,1.0,0.276395,0.599033,0.181132,0.818868,0.396209,1.0,0.0,0.0,0.104943,0.332176,0.683123,0.276042,0.950495,0.0,0.084301,0.940828,0.496542,1.0,0.039695,0.283325,0.827919,0.66747,0.964286,0.0,0.76892,0.952488,0.166667,0.302754,0.513449,0.650538,0.5,1.0,0.0,0.0,1.0,0.893188,1.0,0.999965,0.166667,1.0,0.641383,0.999981,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,apache02,17,-0.022212,0,0.058823529411764705,2.8903717578961645,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.90566,0.0,0.382504,0.0,1.0,0.182419,0.0,0.0,0.0,0.150832,0.818182,0.195537,0.0,0.0,0.0,0.23073,0.522682,0.171863,0.211842,0.676983,0.216656,0.894134,0.507439,0.0,0.286169,0.0,0.0,0.0,0.0,0.194952,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.039647,0.072207,0.0,0.070642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,mg02,18,-0.050553,0,0.05555555555555555,2.9444389791664403,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.90566,0.0,0.382504,0.0,1.0,0.182419,0.0,0.0,0.0,0.150832,0.818182,0.195537,0.0,0.0,0.0,0.090444,0.522682,0.099815,0.211842,0.676983,0.216656,0.894134,0.316484,0.0,0.232396,0.0,0.0,0.0,0.0,0.194952,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.039647,0.072207,0.0,0.070642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,dockerb1,19,-0.054796,0,0.05263157894736842,2.995732273553991,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.06666666666666667,0.90566,0.0,0.382504,0.0,1.0,0.182419,0.0,0.0,0.0,0.150832,0.818182,0.195537,0.0,0.0,0.0,0.070745,0.522682,0.089516,0.211842,0.676983,0.216656,0.894134,0.286464,0.0,0.224555,0.0,0.0,0.0,0.0,0.194952,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.039647,0.072207,0.0,0.070642,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,dockera2,20,-0.115087,0,0.05,3.044522437723423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,0.0,0.382504,0.0,1.0,0.0,0.0,0.0,0.0,0.150832,0.636364,0.01896,0.0,0.0,0.0,0.230961,0.0,0.0,0.211842,0.676983,0.09848,0.894134,0.0,0.0,0.15497,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,dockerb2,21,-0.115087,0,0.047619047619047616,3.091042453358316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.0,0.0,0.382504,0.0,1.0,0.0,0.0,0.0,0.0,0.150832,0.636364,0.01896,0.0,0.0,0.0,0.230961,0.0,0.0,0.211842,0.676983,0.09848,0.894134,0.0,0.0,0.15497,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,tomcat03,22,-0.115293,0,0.045454545454545456,3.1354942159291497,1.0,1.0,0.37735849056603776,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,-0.05138888888888889,1.0,0.0,0.382504,0.0,1.0,0.19731,0.0,0.0,0.0,0.150832,1.0,0.187939,0.0,0.0,0.0,0.012361,0.522682,0.058805,0.211842,0.676983,0.216656,0.894134,0.194183,0.0,0.201021,0.0,0.0,0.0,0.0,0.21526,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09023,0.078102,0.0,0.141284,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest3,23,-0.117662,0,0.043478260869565216,3.1780538303479458,0.24070187702157647,0.40116979503596084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.240702,0.0,0.382504,0.0,1.0,0.077456,0.0,0.0,0.0,0.150832,0.818182,0.046356,0.0,0.0,0.0,0.230961,0.209684,0.068543,0.211842,0.676983,0.145889,0.894134,0.195738,0.0,0.206921,0.0,0.0,0.0,0.0,0.051813,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.047493,0.03066,0.0,0.070642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest1,24,-0.140834,0,0.041666666666666664,3.2188758248682006,0.1243497440902598,0.20724957348376635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.12435,0.0,0.382504,0.0,1.0,0.05909,0.0,0.0,0.0,0.150832,0.818182,0.020252,0.0,0.0,0.0,0.230961,0.108326,0.035331,0.211842,0.676983,0.122972,0.894134,0.09973,0.0,0.181683,0.0,0.0,0.0,0.0,0.026768,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.048866,0.02339,0.0,0.070642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest8,25,-0.14873,0,0.04,3.258096538021482,0.08445518853895705,0.14075864756492842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,0.0,0.0,1.0,0.0,0.084455,0.0,0.382504,0.0,1.0,0.052793,0.0,0.0,0.0,0.150832,0.818182,0.011302,0.0,0.0,0.0,0.230961,0.073572,0.023978,0.211842,0.676983,0.115114,0.894134,0.067408,0.0,0.173083,0.0,0.0,0.0,0.0,0.01818,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.049336,0.020897,0.0,0.070642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
